flightnumber,date,boosterversion,payloadmass,orbit,launchsite,outcome,flights,gridfins,reused,legs,landingpad,block,reusedcount,serial,longitude,latitude
1,6/4/2010,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0003,-80.577366,28.5618571
2,5/22/2012,Falcon 9,525.0,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0005,-80.577366,28.5618571
3,3/1/2013,Falcon 9,677.0,ISS,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0007,-80.577366,28.5618571
4,9/29/2013,Falcon 9,500.0,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1,0,B1003,-120.610829,34.632093
5,12/3/2013,Falcon 9,3170.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1004,-80.577366,28.5618571
6,1/6/2014,Falcon 9,3325.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1005,-80.577366,28.5618571
7,4/18/2014,Falcon 9,2296.0,ISS,CCSFS SLC 40,True Ocean,1,False,False,True,,1,0,B1006,-80.577366,28.5618571
8,7/14/2014,Falcon 9,1316.0,LEO,CCSFS SLC 40,True Ocean,1,False,False,True,,1,0,B1007,-80.577366,28.5618571
9,8/5/2014,Falcon 9,4535.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1008,-80.577366,28.5618571
10,9/7/2014,Falcon 9,4428.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1011,-80.577366,28.5618571
11,9/21/2014,Falcon 9,2216.0,ISS,CCSFS SLC 40,False Ocean,1,False,False,False,,1,0,B1010,-80.577366,28.5618571
12,1/10/2015,Falcon 9,2395.0,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571
13,2/11/2015,Falcon 9,570.0,ES-L1,CCSFS SLC 40,True Ocean,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1013,-80.577366,28.5618571
14,4/14/2015,Falcon 9,1898.0,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571
15,4/27/2015,Falcon 9,4707.0,GTO,CCSFS SLC 40,None None,1,False,False,False,5e9e3032383ecb761634e7cb,1,0,B1016,-80.577366,28.5618571
16,6/28/2015,Falcon 9,2477.0,ISS,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571
17,12/22/2015,Falcon 9,2034.0,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571
18,1/17/2016,Falcon 9,553.0,PO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093
19,3/4/2016,Falcon 9,5271.0,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571
20,4/8/2016,Falcon 9,3136.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571
21,5/6/2016,Falcon 9,4696.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571
22,5/27/2016,Falcon 9,3100.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571
23,7/18/2016,Falcon 9,2257.0,ISS,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571
24,8/14/2016,Falcon 9,4600.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571
25,9/1/2016,Falcon 9,5500.0,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
26,1/14/2017,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093
27,2/19/2017,Falcon 9,2490.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585
28,3/16/2017,Falcon 9,5600.0,GTO,KSC LC 39A,None None,1,False,False,False,5e9e3032383ecb267a34e7c7,3,0,B1030,-80.6039558,28.6080585
29,3/30/2017,Falcon 9,5300.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585
30,5/1/2017,Falcon 9,6123.547647058824,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585
31,5/15/2017,Falcon 9,6070.0,GTO,KSC LC 39A,None None,1,False,False,False,5e9e3032383ecb267a34e7c7,3,0,B1034,-80.6039558,28.6080585
32,6/3/2017,Falcon 9,2708.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585
33,6/23/2017,Falcon 9,3669.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585
34,6/25/2017,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093
35,7/5/2017,Falcon 9,6761.0,GTO,KSC LC 39A,None None,1,False,False,False,5e9e3033383ecbb9e534e7cc,3,0,B1037,-80.6039558,28.6080585
36,8/14/2017,Falcon 9,2910.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585
37,8/24/2017,Falcon 9,475.0,SSO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093
38,9/7/2017,Falcon 9,4990.0,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585
39,10/9/2017,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093
40,10/11/2017,Falcon 9,5200.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585
41,10/30/2017,Falcon 9,3700.0,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585
42,12/15/2017,Falcon 9,2205.0,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571
43,12/23/2017,Falcon 9,9600.0,PO,VAFB SLC 4E,True Ocean,2,True,True,False,5e9e3032383ecb267a34e7c7,3,1,B1036,-120.610829,34.632093
44,1/8/2018,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571
45,1/31/2018,Falcon 9,4230.0,GTO,CCSFS SLC 40,True Ocean,2,True,True,True,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.577366,28.5618571
46,3/6/2018,Falcon 9,6092.0,GTO,CCSFS SLC 40,None None,1,True,False,True,5e9e3032383ecb267a34e7c7,4,0,B1044,-80.577366,28.5618571
47,3/30/2018,Falcon 9,9600.0,PO,VAFB SLC 4E,None None,2,True,True,True,5e9e3032383ecb267a34e7c7,4,1,B1041,-120.610829,34.632093
48,4/2/2018,Falcon 9,2760.0,ISS,CCSFS SLC 40,None None,2,True,True,True,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.577366,28.5618571
49,4/18/2018,Falcon 9,350.0,HEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,1,B1045,-80.577366,28.5618571
50,5/11/2018,Falcon 9,3750.0,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.6039558,28.6080585
51,6/4/2018,Falcon 9,5383.85,GTO,CCSFS SLC 40,None None,2,False,True,False,5e9e3032383ecb6bb234e7ca,4,1,B1040,-80.577366,28.5618571
52,6/29/2018,Falcon 9,2410.0,ISS,CCSFS SLC 40,None None,2,False,True,False,5e9e3032383ecb6bb234e7ca,4,1,B1045,-80.577366,28.5618571
53,7/22/2018,Falcon 9,7076.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571
54,7/25/2018,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,4,B1048,-120.610829,34.632093
55,8/7/2018,Falcon 9,5800.0,GTO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.577366,28.5618571
56,9/10/2018,Falcon 9,7060.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
57,10/8/2018,Falcon 9,2800.0,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,4,B1048,-120.610829,34.632093
58,11/15/2018,Falcon 9,3000.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.6039558,28.6080585
59,12/3/2018,Falcon 9,4000.0,SSO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,3,B1046,-120.610829,34.632093
60,12/5/2018,Falcon 9,2573.0,ISS,CCSFS SLC 40,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5,0,B1050,-80.577366,28.5618571
61,12/23/2018,Falcon 9,4400.0,MEO,CCSFS SLC 40,None None,1,False,False,False,5e9e3032383ecb267a34e7c7,5,0,B1054,-80.577366,28.5618571
62,1/11/2019,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-120.610829,34.632093
63,3/2/2019,Falcon 9,12259.0,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
64,5/4/2019,Falcon 9,2482.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
65,5/24/2019,Falcon 9,13200.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
66,6/12/2019,Falcon 9,1425.0,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,12,B1051,-120.610829,34.632093
67,7/25/2019,Falcon 9,2227.7,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,3,B1056,-80.577366,28.5618571
68,8/6/2019,Falcon 9,6500.0,GTO,CCSFS SLC 40,None None,3,False,True,False,5e9e3032383ecb267a34e7c7,5,2,B1047,-80.577366,28.5618571
69,11/11/2019,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
70,12/5/2019,Falcon 9,5000.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
71,12/17/2019,Falcon 9,6800.0,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
72,1/7/2020,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
73,1/19/2020,Falcon 9,6123.547647058824,SO,KSC LC 39A,None None,4,False,True,False,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.6039558,28.6080585
74,1/29/2020,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
75,2/17/2020,Falcon 9,15600.0,VLEO,CCSFS SLC 40,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
76,3/7/2020,Falcon 9,1977.0,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
77,3/18/2020,Falcon 9,15600.0,VLEO,KSC LC 39A,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.6039558,28.6080585
78,4/22/2020,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
79,5/30/2020,Falcon 9,9525.0,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
80,6/4/2020,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
81,6/13/2020,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
82,6/30/2020,Falcon 9,3880.0,MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
83,7/20/2020,Falcon 9,6123.547647058824,GEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
84,8/18/2020,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
85,8/30/2020,Falcon 9,1600.0,SSO,CCSFS SLC 40,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
86,9/3/2020,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
87,10/6/2020,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
88,10/18/2020,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
89,10/24/2020,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
90,11/5/2020,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.577366,28.5618571
